Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
07/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
08/12/2025,CASH,INTEREST   ,0,0,0,0,0.6,
09/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
10/12/2025,PYPL,DIVIDEND   ,2,0.119,0.04,0.75630252,0.18,
10/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
11/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
12/12/2025,CASH,INTEREST   ,0,0,0,0,0.6,
13/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
14/12/2025,CASH,INTEREST   ,0,0,0,0,0.59,
15/12/2025,PSH.L,BUY,4,4986,0,100,199.44,
15/12/2025,CASH,INTEREST   ,0,0,0,0,0.6,
16/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
17/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
18/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
19/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
20/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
21/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
22/12/2025,CASH,INTEREST   ,0,0,0,0,0.58,
23/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
24/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
25/12/2025,CASH,INTEREST   ,0,0,0,0,0.57,
26/12/2025,CASH,INTEREST   ,0,0,0,0,0.54,
27/12/2025,CASH,INTEREST   ,0,0,0,0,0.54,
28/12/2025,CASH,INTEREST   ,0,0,0,0,0.53,
29/12/2025,CASH,INTEREST   ,0,0,0,0,0.54,
30/12/2025,CASH,INTEREST   ,0,0,0,0,0.54,
31/12/2025,CASH,INTEREST   ,0,0,0,0,0.54,
01/01/2026,CASH,INTEREST   ,0,0,0,0,0.54,
02/01/2026,CASH,INTEREST   ,0,0,0,0,0.53,
02/01/2026,NKE,DIVIDEND   ,2,0.3485,0.12,0.742661,0.52,
03/01/2026,CASH,INTEREST   ,0,0,0,0,0.54,
04/01/2026,CASH,INTEREST   ,0,0,0,0,0.54,
05/01/2026,CASH,INTEREST   ,0,0,0,0,0.54,
06/01/2026,CASH,INTEREST   ,0,0,0,0,0.53,
07/01/2026,CASH,INTEREST   ,0,0,0,0,0.54,
07/01/2026,CASH,WITHDRAW,0,0,0,0,-1250,
08/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
08/01/2026,SLB,DIVIDEND   ,1,0.285,0,0.743279,0.21,
09/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
10/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
11/01/2026,CASH,INTEREST   ,0,0,0,0,0.42,
12/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
13/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
14/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
15/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
16/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
17/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
18/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
19/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
20/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
21/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
22/01/2026,CASH,INTEREST   ,0,0,0,0,0.42,
23/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
24/01/2026,CASH,DEPOSIT,0,0,0,0,500,
24/01/2026,CASH,INTEREST   ,0,0,0,0,0.41,
25/01/2026,CASH,INTEREST   ,0,0,0,0,0.46,
26/01/2026,CASH,INTEREST   ,0,0,0,0,0.46,
27/01/2026,CASH,INTEREST   ,0,0,0,0,0.46,
28/01/2026,CASH,INTEREST   ,0,0,0,0,0.47,
29/01/2026,CASH,DEPOSIT,0,0,0,0,400,
29/01/2026,CASH,INTEREST   ,0,0,0,0,0.46,
30/01/2026,CASH,INTEREST   ,0,0,0,0,0.5,
31/01/2026,CASH,INTEREST   ,0,0,0,0,0.51,
01/02/2026,CASH,INTEREST   ,0,0,0,0,0.5,
01/02/2026,CASH,WITHDRAW,0,0,0,0,-500,
02/02/2026,CASH,DEPOSIT,0,0,0,0,500,
02/02/2026,CASH,INTEREST   ,0,0,0,0,0.45,
03/02/2026,CASH,INTEREST   ,0,0,0,0,0.51,
